                  50                   2                  20
                  15                   0                   8        0.1009319600
                  15                   0                   9        0.0791007121
                  15                   0                  10        0.0711068393
                  15                   0                  11        0.0699800832
                  15                   0                  12        0.0553659971
                  15                   0                  13        0.0481088563
                  15                   0                  14        0.0426514406
                  15                   0                  15        0.0353948199
                  15                   0                  16        0.0261565675
                  15                   0                  17        0.0175779161
                  15                   0                  18        0.0163230844
                  15                   0                  19        0.0178456508
                  15                   1                   0        0.5000000000
                  15                   1                   1        0.3775090520
                  15                   1                   2        0.3098841042
                  15                   1                   3        0.2418997054
                  15                   1                   4        0.1898113327
                  15                   1                   5        0.1418041782
                  15                   1                   6        0.1221325326
                  15                   1                   7        0.1049342673
                  15                   1                   8        0.0943705134
                  15                   1                   9        0.0764290284
                  15                   1                  10        0.0518101333
                  15                   1                  11        0.0485069927
                  15                   1                  12        0.0328926181
                  15                   1                  13        0.0276632963
                  15                   1                  14        0.0173353151
                  15                   1                  15        0.0188548728
                  15                   1                  16        0.0177901140
                  15                   1                  17        0.0210278717
                  15                   1                  18        0.0123206486
                  15                   1                  19        0.0035175893
                  16                   0                   0        0.5000000000
                  16                   0                   1        0.3742786527
                  16                   0                   2        0.2990658733
                  16                   0                   3        0.2359395156
                  16                   0                   4        0.1750086001
                  16                   0                   5        0.1371029197
                  16                   0                   6        0.1152897776
                  16                   0                   7        0.0953050740
                  16                   0                   8        0.0724380884
                  16                   0                   9        0.0796524098
                  16                   0                  10        0.0810877085
                  16                   0                  11        0.0858361939
                  16                   0                  12        0.0710144113
                  16                   0                  13        0.0380086343
                  16                   0                  14        0.0342633538
                  16                   0                  15        0.0355806773
                  16                   0                  16        0.0341483409
                  16                   0                  17        0.0282273686
                  16                   0                  18        0.0169998770
                  16                   0                  19        0.0158703139
                  16                   1                   0        0.5000000000
                  16                   1                   1        0.3709890819
                  16                   1                   2        0.2776044698
                  16                   1                   3        0.2192752641
                  16                   1                   4        0.1746952085
                  16                   1                   5        0.1507093178
                  16                   1                   6        0.1452562008
                  16                   1                   7        0.1194827357
                  16                   1                   8        0.0936439928
                  16                   1                   9        0.0751922153
                  16                   1                  10        0.0667811797
                  16                   1                  11        0.0573086116
                  16                   1                  12        0.0470530210
                  16                   1                  13        0.0312379079
                  16                   1                  14        0.0321673309
                  16                   1                  15        0.0274335738
                  16                   1                  16        0.0251017359
                  16                   1                  17        0.0217561529
                  16                   1                  18        0.0179203943
                  16                   1                  19        0.0137927909
                  17                   0                   0        0.5000000000
                  17                   0                   1        0.3738234081
                  17                   0                   2        0.3068303669
                  17                   0                   3        0.2363560054
                  17                   0                   4        0.2098038744
                  17                   0                   5        0.1690944348
                  17                   0                   6        0.1508509103
                  17                   0                   7        0.1131960942
                  17                   0                   8        0.1029229549
                  17                   0                   9        0.0813590350
                  17                   0                  10        0.0650842193
                  17                   0                  11        0.0635844872
                  17                   0                  12        0.0496671536
                  17                   0                  13        0.0356048746
                  17                   0                  14        0.0345215182
                  17                   0                  15        0.0298724189
                  17                   0                  16        0.0345811100
                  17                   0                  17        0.0313040605
                  17                   0                  18        0.0290326242
                  17                   0                  19        0.0226850086
                  17                   1                   0        0.5000000000
                  17                   1                   1        0.3706585478
                  17                   1                   2        0.2791753247
                  17                   1                   3        0.2213631017
                  17                   1                   4        0.1943546471
                  17                   1                   5        0.1469824773
                  17                   1                   6        0.1320406342
                  17                   1                   7        0.1108519133
                  17                   1                   8        0.0989159755
                  17                   1                   9        0.0801191036
                  17                   1                  10        0.0632613985
                  17                   1                  11        0.0613008651
                  17                   1                  12        0.0522702018
                  17                   1                  13        0.0449916809
                  17                   1                  14        0.0333456276
                  17                   1                  15        0.0264046135
                  17                   1                  16        0.0192950350
                  17                   1                  17        0.0207913990
                  17                   1                  18        0.0216441509
                  17                   1                  19        0.0179851415
                  18                   0                   0        0.5000000000
                  18                   0                   1        0.3735003574
                  18                   0                   2        0.3110344759
                  18                   0                   3        0.2444416012
                  18                   0                   4        0.1947800730
                  18                   0                   5        0.1814209764
                  18                   0                   6        0.1375026740
                  18                   0                   7        0.1178893520
                  18                   0                   8        0.0896368089
                  18                   0                   9        0.0766025913
                  18                   0                  10        0.0644315558
                  18                   0                  11        0.0737044166
                  18                   0                  12        0.0533632633
                  18                   0                  13        0.0488819855
                  18                   0                  14        0.0454299921
                  18                   0                  15        0.0451458757
                  18                   0                  16        0.0361125245
                  18                   0                  17        0.0258418106
                  18                   0                  18        0.0272404769
                  18                   0                  19        0.0230769764
                  18                   1                   0        0.5000000000
                  18                   1                   1        0.3731806595
                  18                   1                   2        0.2996082644
                  18                   1                   3        0.2254151351
                  18                   1                   4        0.1766723659
                  18                   1                   5        0.1476987820
                  18                   1                   6        0.1292717199
                  18                   1                   7        0.1095396237
                  18                   1                   8        0.0935854610
                  18                   1                   9        0.0793375939
                  18                   1                  10        0.0699151517
                  18                   1                  11        0.0653456756
                  18                   1                  12        0.0536626398
                  18                   1                  13        0.0535665069
                  18                   1                  14        0.0408716480
                  18                   1                  15        0.0330894993
                  18                   1                  16        0.0282883775
                  18                   1                  17        0.0206553220
                  18                   1                  18        0.0159392655
                  18                   1                  19        0.0112924553
                  19                   0                   0        0.5000000000
                  19                   0                   1        0.3779859548
                  19                   0                   2        0.2920005147
                  19                   0                   3        0.2406581199
                  19                   0                   4        0.1876174339
                  19                   0                   5        0.1513250152
                  19                   0                   6        0.1143018877
                  19                   0                   7        0.0915570155
                  19                   0                   8        0.0795088166
                  19                   0                   9        0.0640195153
                  19                   0                  10        0.0549443734
                  19                   0                  11        0.0370319747
                  19                   0                  12        0.0252677300
                  19                   0                  13        0.0294482877
                  19                   0                  14        0.0212533447
                  19                   0                  15        0.0172671792
                  19                   0                  16        0.0171691611
                  19                   0                  17        0.0155316112
                  19                   0                  18        0.0191744381
                  19                   0                  19        0.0140560742
                  19                   1                   0        0.5000000000
                  19                   1                   1        0.3856386420
                  19                   1                   2        0.3148734360
                  19                   1                   3        0.2356407316
                  19                   1                   4        0.2042336974
                  19                   1                   5        0.1602389404
                  19                   1                   6        0.1407158329
                  19                   1                   7        0.1263195510
                  19                   1                   8        0.0979375501
                  19                   1                   9        0.0761171690
                  19                   1                  10        0.0781484940
                  19                   1                  11        0.0644556293
                  19                   1                  12        0.0726193981
                  19                   1                  13        0.0620953323
                  19                   1                  14        0.0419113553
                  19                   1                  15        0.0361939895
                  19                   1                  16        0.0324317943
                  19                   1                  17        0.0280357030
                  19                   1                  18        0.0291610471
                  19                   1                  19        0.0257660970
                  20                   0                   0        0.5000000000
                  20                   0                   1        0.3695645489
                  20                   0                   2        0.2962874447
                  20                   0                   3        0.2252004433
                  20                   0                   4        0.1778074267
                  20                   0                   5        0.1488083780
                  20                   0                   6        0.1198923375
                  20                   0                   7        0.1004372276
                  20                   0                   8        0.0746722358
                  20                   0                   9        0.0577300414
                  20                   0                  10        0.0615936308
                  20                   0                  11        0.0411304103
                  20                   0                  12        0.0397424504
                  20                   0                  13        0.0277762305
                  20                   0                  14        0.0227494881
                  20                   0                  15        0.0224659444
                  20                   0                  16        0.0140410827
                  20                   0                  17        0.0091164021
                  20                   0                  18        0.0070071981
                  20                   0                  19        0.0055500292
